A0,A1,A2,A3,A4,A5,A6,A7,A8,A8,OUTCOME
0.22,0.53,0.49,1.01,0.31,0.92,0.70,1.09,1.51,1.53,PILL
0.22,0.53,0.49,0.66,0.32,0.54,0.70,0.76,1.06,1.18,PILL
0.22,0.53,0.49,0.65,0.32,0.51,0.70,0.75,0.94,1.01,PILL
0.22,0.54,0.49,0.65,0.32,0.53,0.70,0.78,0.93,0.93,PILL
0.22,0.54,0.49,0.66,0.32,0.54,0.70,0.81,0.98,0.95,PILL
0.22,0.53,0.49,0.66,0.32,0.55,0.70,0.83,1.01,0.99,PILL
0.22,0.54,0.49,0.66,0.32,0.55,0.70,0.83,1.02,1.01,PILL
0.22,0.54,0.49,0.66,0.32,0.55,0.70,0.83,1.02,1.03,PILL
0.22,0.53,0.49,0.65,0.32,0.54,0.70,0.82,1.02,1.05,PILL
0.22,0.54,0.49,0.63,0.32,0.51,0.70,0.79,0.98,1.05,PILL
0.22,0.53,0.49,0.61,0.32,0.50,0.70,0.77,0.92,1.00,PILL
0.22,0.53,0.49,0.61,0.32,0.49,0.70,0.76,0.88,0.96,PILL
0.22,0.54,0.49,0.60,0.32,0.48,0.70,0.75,0.86,0.92,PILL
0.22,0.53,0.49,0.61,0.32,0.48,0.70,0.75,0.85,0.88,PILL
0.22,0.54,0.49,0.63,0.32,0.50,0.70,0.76,0.85,0.85,PILL
0.22,0.54,0.49,0.65,0.32,0.52,0.70,0.79,0.90,0.86,PILL
0.22,0.53,0.49,0.66,0.32,0.54,0.70,0.82,0.97,0.92,PILL
0.22,0.54,0.49,0.66,0.32,0.54,0.70,0.83,1.00,0.97,PILL
0.22,0.53,0.49,0.66,0.32,0.55,0.70,0.83,1.01,1.00,PILL
0.22,0.53,0.49,0.65,0.32,0.55,0.70,0.83,1.02,1.03,PILL
0.22,0.54,0.49,0.64,0.32,0.53,0.70,0.82,1.01,1.05,PILL
0.22,0.53,0.49,0.62,0.32,0.51,0.70,0.79,0.97,1.04,PILL
0.22,0.54,0.49,0.61,0.32,0.49,0.70,0.77,0.91,0.99,PILL
0.22,0.53,0.49,0.61,0.32,0.48,0.70,0.76,0.88,0.95,PILL
0.22,0.53,0.49,0.60,0.32,0.48,0.70,0.75,0.86,0.91,PILL
0.22,0.54,0.49,0.61,0.32,0.48,0.70,0.75,0.84,0.87,PILL
0.22,0.53,0.49,0.63,0.32,0.50,0.70,0.77,0.86,0.85,PILL
0.22,0.53,0.49,0.65,0.32,0.53,0.70,0.80,0.91,0.87,PILL
0.22,0.53,0.49,0.66,0.32,0.54,0.70,0.83,0.98,0.93,PILL
0.22,0.53,0.49,0.66,0.32,0.55,0.71,0.84,1.01,0.98,PILL
0.22,0.53,0.49,0.66,0.32,0.55,0.71,0.83,1.02,1.01,PILL
0.22,0.53,0.49,0.65,0.32,0.55,0.71,0.83,1.02,1.04,PILL
0.22,0.53,0.49,0.64,0.32,0.53,0.71,0.82,1.01,1.06,PILL
0.22,0.53,0.49,0.62,0.32,0.51,0.71,0.79,0.96,1.04,PILL
0.22,0.54,0.49,0.61,0.32,0.49,0.71,0.77,0.91,0.99,PILL
0.22,0.53,0.49,0.61,0.32,0.48,0.71,0.76,0.88,0.95,PILL
0.22,0.53,0.49,0.61,0.32,0.48,0.71,0.76,0.86,0.91,PILL
0.22,0.53,0.49,0.62,0.32,0.48,0.71,0.76,0.85,0.87,PILL
0.22,0.53,0.49,0.64,0.32,0.51,0.71,0.78,0.87,0.85,PILL
0.22,0.54,0.49,0.65,0.32,0.53,0.71,0.81,0.93,0.88,PILL
0.22,0.54,0.49,0.66,0.32,0.54,0.71,0.83,0.99,0.95,PILL
0.22,0.53,0.49,0.66,0.32,0.55,0.71,0.83,1.01,0.99,PILL
0.22,0.53,0.49,0.66,0.32,0.55,0.71,0.83,1.02,1.01,PILL
0.22,0.53,0.49,0.65,0.32,0.54,0.71,0.83,1.02,1.04,PILL
0.22,0.53,0.49,0.63,0.32,0.53,0.71,0.81,1.00,1.06,PILL
0.22,0.54,0.49,0.62,0.32,0.50,0.71,0.79,0.95,1.03,PILL
0.22,0.53,0.49,0.61,0.32,0.49,0.71,0.77,0.90,0.98,PILL
0.22,0.53,0.49,0.61,0.32,0.48,0.71,0.76,0.87,0.94,PILL
0.22,0.53,0.49,0.61,0.32,0.48,0.71,0.76,0.86,0.90,PILL
0.22,0.53,0.49,0.62,0.32,0.49,0.71,0.76,0.85,0.86,PILL
0.22,0.53,0.49,0.64,0.32,0.51,0.71,0.79,0.88,0.85,PILL
0.22,0.53,0.49,0.66,0.32,0.54,0.71,0.82,0.94,0.89,PILL
0.22,0.53,0.49,0.66,0.32,0.55,0.71,0.84,1.00,0.96,PILL
0.22,0.53,0.49,0.66,0.32,0.55,0.71,0.84,1.02,1.00,PILL
0.22,0.53,0.49,0.66,0.32,0.55,0.71,0.83,1.02,1.02,PILL
0.22,0.53,0.49,0.65,0.32,0.54,0.71,0.83,1.02,1.05,PILL
0.22,0.53,0.49,0.63,0.32,0.52,0.71,0.81,0.99,1.05,PILL
0.22,0.53,0.49,0.62,0.32,0.50,0.71,0.78,0.94,1.02,PILL
0.22,0.53,0.49,0.61,0.32,0.49,0.71,0.77,0.90,0.97,PILL
0.22,0.53,0.49,0.61,0.32,0.48,0.71,0.76,0.87,0.93,PILL
0.22,0.53,0.49,0.61,0.32,0.48,0.71,0.76,0.85,0.90,PILL
0.22,0.53,0.49,0.63,0.32,0.49,0.71,0.76,0.85,0.86,PILL
0.22,0.53,0.49,0.65,0.32,0.52,0.71,0.79,0.89,0.86,PILL
0.22,0.54,0.49,0.66,0.32,0.54,0.71,0.82,0.96,0.91,PILL
0.22,0.53,0.49,0.66,0.32,0.55,0.71,0.84,1.01,0.97,PILL
0.22,0.53,0.49,0.66,0.32,0.55,0.71,0.84,1.02,1.00,PILL
0.22,0.53,0.49,0.66,0.32,0.55,0.71,0.83,1.02,1.02,PILL
0.22,0.53,0.49,0.65,0.32,0.54,0.71,0.83,1.02,1.05,PILL
0.22,0.53,0.49,0.63,0.32,0.52,0.71,0.81,0.98,1.05,PILL
0.22,0.53,0.49,0.62,0.32,0.50,0.71,0.78,0.93,1.01,PILL
0.22,0.53,0.49,0.61,0.32,0.49,0.71,0.77,0.89,0.97,PILL
0.22,0.53,0.49,0.61,0.32,0.48,0.71,0.76,0.87,0.93,PILL
0.22,0.53,0.49,0.61,0.32,0.48,0.71,0.76,0.85,0.89,PILL
0.22,0.53,0.49,0.63,0.32,0.50,0.71,0.77,0.86,0.86,PILL
0.22,0.53,0.49,0.65,0.32,0.52,0.71,0.80,0.90,0.86,PILL
0.22,0.53,0.49,0.66,0.32,0.54,0.71,0.83,0.97,0.92,PILL
0.22,0.53,0.49,0.66,0.32,0.55,0.71,0.84,1.01,0.98,PILL
0.22,0.53,0.49,0.66,0.32,0.55,0.71,0.83,1.02,1.00,PILL
0.22,0.53,0.49,0.65,0.32,0.55,0.71,0.83,1.02,1.03,PILL
0.22,0.53,0.49,0.64,0.32,0.54,0.71,0.82,1.02,1.06,PILL
0.22,0.53,0.49,0.62,0.32,0.51,0.71,0.80,0.98,1.05,PILL
0.22,0.53,0.49,0.61,0.32,0.50,0.71,0.78,0.92,1.00,PILL
0.22,0.53,0.49,0.61,0.32,0.49,0.71,0.77,0.89,0.96,PILL
