in s,C2 in V
-2.99999E+00,2.92313E-01
-2.99994E+00,2.92313E-01
-2.99989E+00,2.92252E-01
-2.99984E+00,2.92313E-01
-2.99979E+00,2.92374E-01
-2.99974E+00,2.92283E-01
-2.99969E+00,2.92252E-01
-2.99964E+00,2.92298E-01
-2.99959E+00,2.92298E-01
-2.99954E+00,2.92328E-01
-2.99949E+00,2.92328E-01
-2.99944E+00,2.92374E-01
-2.99939E+00,2.92313E-01
-2.99934E+00,2.92344E-01
-2.99929E+00,2.92389E-01
-2.99924E+00,2.92450E-01
-2.99919E+00,2.92481E-01
-2.99914E+00,2.92450E-01
-2.99909E+00,2.92496E-01
-2.99904E+00,2.92450E-01
-2.99899E+00,2.92542E-01
-2.99894E+00,2.92618E-01
-2.99889E+00,2.92557E-01
-2.99884E+00,2.92511E-01
-2.99879E+00,2.92496E-01
-2.99874E+00,2.92527E-01
-2.99869E+00,2.92527E-01
-2.99864E+00,2.92588E-01
-2.99859E+00,2.92511E-01
-2.99854E+00,2.92542E-01
-2.99849E+00,2.92527E-01
-2.99844E+00,2.92481E-01
-2.99839E+00,2.92542E-01
-2.99834E+00,2.92603E-01
-2.99829E+00,2.92618E-01
-2.99824E+00,2.92649E-01
-2.99819E+00,2.92649E-01
-2.99814E+00,2.92511E-01
-2.99809E+00,2.92572E-01
-2.99804E+00,2.92511E-01
-2.99799E+00,2.92542E-01
-2.99794E+00,2.92542E-01
-2.99789E+00,2.92572E-01
-2.99784E+00,2.92633E-01
-2.99779E+00,2.92695E-01
-2.99774E+00,2.92466E-01
-2.99769E+00,2.92496E-01
-2.99764E+00,2.92603E-01
-2.99759E+00,2.92527E-01
-2.99754E+00,2.92542E-01
-2.99749E+00,2.92633E-01
-2.99744E+00,2.92542E-01
-2.99739E+00,2.92496E-01
-2.99734E+00,2.92527E-01
-2.99729E+00,2.92557E-01
-2.99724E+00,2.92588E-01
-2.99719E+00,2.92603E-01
-2.99714E+00,2.92572E-01
-2.99708E+00,2.92557E-01
-2.99703E+00,2.92542E-01
-2.99698E+00,2.92527E-01
-2.99693E+00,2.92649E-01
-2.99688E+00,2.92725E-01
-2.99683E+00,2.92679E-01
-2.99678E+00,2.92756E-01
-2.99673E+00,2.92740E-01
-2.99668E+00,2.92725E-01
-2.99663E+00,2.92878E-01
-2.99658E+00,2.92801E-01
-2.99653E+00,2.92725E-01
-2.99648E+00,2.92710E-01
-2.99643E+00,2.92710E-01
-2.99638E+00,2.92786E-01
-2.99633E+00,2.92756E-01
-2.99628E+00,2.92801E-01
-2.99623E+00,2.92695E-01
-2.99618E+00,2.92649E-01
-2.99613E+00,2.92756E-01
-2.99608E+00,2.92786E-01
-2.99603E+00,2.92740E-01
-2.99598E+00,2.92771E-01
-2.99593E+00,2.92695E-01
-2.99588E+00,2.92649E-01
-2.99583E+00,2.92649E-01
-2.99578E+00,2.92679E-01
-2.99573E+00,2.92725E-01
-2.99568E+00,2.92664E-01
-2.99563E+00,2.92649E-01
-2.99558E+00,2.92664E-01
-2.99553E+00,2.92710E-01
-2.99548E+00,2.92603E-01
-2.99543E+00,2.92572E-01
-2.99538E+00,2.92542E-01
-2.99533E+00,2.92572E-01
-2.99528E+00,2.92557E-01
-2.99523E+00,2.92527E-01
-2.99518E+00,2.92481E-01
-2.99513E+00,2.92420E-01
-2.99508E+00,2.92466E-01
-2.99503E+00,2.92405E-01
-2.99498E+00,2.92313E-01
-2.99493E+00,2.92313E-01
-2.99488E+00,2.92435E-01
-2.99483E+00,2.92359E-01
-2.99478E+00,2.92344E-01
-2.99473E+00,2.92283E-01
-2.99468E+00,2.92313E-01
-2.99463E+00,2.92252E-01
-2.99458E+00,2.92359E-01
-2.99453E+00,2.92374E-01
-2.99448E+00,2.92328E-01
-2.99443E+00,2.92344E-01
-2.99438E+00,2.92313E-01
-2.99433E+00,2.92328E-01
-2.99428E+00,2.92374E-01
-2.99423E+00,2.92191E-01
-2.99418E+00,2.92283E-01
-2.99413E+00,2.92237E-01
-2.99408E+00,2.92206E-01
-2.99403E+00,2.92191E-01
-2.99398E+00,2.92130E-01
-2.99392E+00,2.92176E-01
-2.99387E+00,2.92283E-01
-2.99382E+00,2.92313E-01
-2.99377E+00,2.92328E-01
-2.99372E+00,2.92221E-01
-2.99367E+00,2.92313E-01
-2.99362E+00,2.92313E-01
-2.99357E+00,2.92267E-01
-2.99352E+00,2.92283E-01
-2.99347E+00,2.92313E-01
-2.99342E+00,2.92252E-01
-2.99337E+00,2.92191E-01
-2.99332E+00,2.92176E-01
-2.99327E+00,2.92099E-01
-2.99322E+00,2.92099E-01
-2.99317E+00,2.92176E-01
-2.99312E+00,2.92130E-01
-2.99307E+00,2.92160E-01
-2.99302E+00,2.92176E-01
-2.99297E+00,2.92130E-01
-2.99292E+00,2.92145E-01
-2.99287E+00,2.92145E-01
-2.99282E+00,2.92084E-01
