in s,C1 in V
-5.99998E+00,1.221E-01
-5.99988E+00,2.441E-02
-5.99978E+00,1.221E-01
-5.99968E+00,2.441E-02
-5.99958E+00,-1.221E-01
-5.99947E+00,-2.441E-02
-5.99937E+00,2.441E-02
-5.99927E+00,7.324E-02
-5.99917E+00,-7.324E-02
-5.99907E+00,7.324E-02
-5.99897E+00,1.709E-01
-5.99887E+00,-1.221E-01
-5.99877E+00,-2.441E-02
-5.99867E+00,-2.441E-02
-5.99857E+00,1.221E-01
-5.99847E+00,2.441E-02
-5.99837E+00,-1.221E-01
-5.99827E+00,1.221E-01
-5.99817E+00,-2.441E-02
-5.99807E+00,-2.441E-02
-5.99797E+00,2.441E-02
-5.99787E+00,2.441E-02
-5.99777E+00,2.441E-02
-5.99767E+00,-2.441E-02
-5.99757E+00,2.441E-02
-5.99747E+00,2.441E-02
-5.99737E+00,-2.441E-02
-5.99727E+00,-2.441E-02
-5.99717E+00,-2.441E-02
-5.99707E+00,2.441E-02
-5.99697E+00,1.221E-01
-5.99687E+00,-2.441E-02
-5.99677E+00,-2.441E-02
-5.99667E+00,-2.441E-02
-5.99657E+00,7.324E-02
-5.99647E+00,-2.441E-02
-5.99637E+00,7.324E-02
-5.99627E+00,-2.441E-02
-5.99617E+00,2.441E-02
-5.99607E+00,-7.324E-02
-5.99597E+00,-2.441E-02
-5.99587E+00,2.441E-02
-5.99577E+00,2.441E-02
-5.99567E+00,7.324E-02
-5.99557E+00,-2.441E-02
-5.99547E+00,-2.441E-02
-5.99537E+00,1.221E-01
-5.99527E+00,2.441E-02
-5.99517E+00,-2.441E-02
-5.99507E+00,1.221E-01
-5.99497E+00,2.441E-02
-5.99487E+00,-2.441E-02
-5.99477E+00,1.221E-01
-5.99467E+00,2.441E-02
-5.99457E+00,1.221E-01
-5.99446E+00,-2.441E-02
-5.99436E+00,2.441E-02
-5.99426E+00,1.221E-01
-5.99416E+00,7.324E-02
-5.99406E+00,-7.324E-02
-5.99396E+00,-7.324E-02
-5.99386E+00,-2.441E-02
-5.99376E+00,-2.441E-02
-5.99366E+00,1.221E-01
-5.99356E+00,-7.324E-02
-5.99346E+00,2.441E-02
-5.99336E+00,2.441E-02
-5.99326E+00,-1.221E-01
-5.99316E+00,2.441E-02
-5.99306E+00,-1.221E-01
-5.99296E+00,2.441E-02
-5.99286E+00,-2.441E-02
-5.99276E+00,2.441E-02
-5.99266E+00,2.441E-02
-5.99256E+00,-7.324E-02
-5.99246E+00,2.441E-02
-5.99236E+00,-2.441E-02
-5.99226E+00,7.324E-02
-5.99216E+00,7.324E-02
-5.99206E+00,-2.441E-02
-5.99196E+00,-7.324E-02
-5.99186E+00,1.221E-01
-5.99176E+00,1.709E-01
-5.99166E+00,7.324E-02
-5.99156E+00,-1.221E-01
-5.99146E+00,1.221E-01
