in s,C1 in V
-2.281999E+00,-1.465E-02
-2.281989E+00,3.418E-02
-2.281979E+00,-4.883E-03
-2.281969E+00,5.371E-02
-2.281959E+00,1.465E-02
-2.281949E+00,-2.441E-02
-2.281939E+00,4.883E-03
-2.281929E+00,4.883E-03
-2.281919E+00,4.883E-03
-2.281909E+00,2.441E-02
-2.281898E+00,-4.883E-03
-2.281888E+00,2.441E-02
-2.281878E+00,2.441E-02
-2.281868E+00,4.883E-03
-2.281858E+00,1.465E-02
-2.281848E+00,3.418E-02
-2.281838E+00,1.465E-02
-2.281828E+00,3.418E-02
-2.281818E+00,1.465E-02
-2.281808E+00,4.883E-03
-2.281798E+00,4.883E-03
-2.281788E+00,4.395E-02
-2.281778E+00,1.465E-02
-2.281768E+00,2.441E-02
-2.281758E+00,2.441E-02
-2.281748E+00,3.418E-02
-2.281738E+00,2.441E-02
-2.281728E+00,3.418E-02
-2.281718E+00,4.883E-03
-2.281708E+00,2.441E-02
-2.281698E+00,2.441E-02
-2.281688E+00,2.441E-02
-2.281678E+00,1.465E-02
-2.281668E+00,4.883E-03
-2.281658E+00,3.418E-02
-2.281648E+00,1.465E-02
-2.281638E+00,-4.883E-03
-2.281628E+00,-4.883E-03
-2.281618E+00,1.465E-02
-2.281608E+00,2.441E-02
-2.281598E+00,2.441E-02
-2.281587E+00,5.371E-02
-2.281577E+00,4.883E-03
-2.281567E+00,-2.441E-02
-2.281557E+00,3.418E-02
-2.281547E+00,3.418E-02
-2.281537E+00,4.883E-03
-2.281527E+00,4.883E-03
-2.281517E+00,4.883E-03
-2.281507E+00,1.465E-02
-2.281497E+00,-4.883E-03
-2.281487E+00,3.418E-02
-2.281477E+00,4.883E-03
-2.281467E+00,3.418E-02
-2.281457E+00,1.465E-02
-2.281447E+00,3.418E-02
-2.281437E+00,1.465E-02
-2.281427E+00,-1.465E-02
-2.281417E+00,-4.883E-03
-2.281407E+00,1.465E-02
-2.281397E+00,2.441E-02
-2.281387E+00,-4.883E-03
-2.281377E+00,1.465E-02
-2.281367E+00,4.883E-03
-2.281357E+00,1.465E-02
-2.281347E+00,4.883E-03
-2.281337E+00,1.465E-02
-2.281327E+00,1.465E-02
-2.281317E+00,2.441E-02
-2.281307E+00,4.883E-03
-2.281297E+00,3.418E-02
-2.281287E+00,-2.441E-02
-2.281276E+00,1.465E-02
-2.281266E+00,-4.883E-03
-2.281256E+00,4.883E-03
-2.281246E+00,3.418E-02
-2.281236E+00,4.883E-03
-2.281226E+00,-1.465E-02
-2.281216E+00,2.441E-02
-2.281206E+00,3.418E-02
-2.281196E+00,4.883E-03
-2.281186E+00,-4.883E-03
-2.281176E+00,-4.883E-03
-2.281166E+00,2.441E-02
-2.281156E+00,3.418E-02
-2.281146E+00,4.883E-03
-2.281136E+00,2.441E-02
-2.281126E+00,2.441E-02
-2.281116E+00,2.441E-02
-2.281106E+00,3.418E-02
-2.281096E+00,4.883E-03
-2.281086E+00,2.441E-02
-2.281076E+00,2.441E-02
-2.281066E+00,1.465E-02
-2.281056E+00,3.418E-02
-2.281046E+00,4.395E-02
-2.281036E+00,1.465E-02
-2.281026E+00,2.441E-02
-2.281016E+00,2.441E-02
-2.281006E+00,1.465E-02
-2.280996E+00,4.883E-03
-2.280986E+00,4.395E-02
-2.280976E+00,4.883E-03
-2.280966E+00,1.465E-02
-2.280955E+00,1.465E-02
-2.280945E+00,3.418E-02
-2.280935E+00,4.883E-03
-2.280925E+00,1.465E-02
-2.280915E+00,1.465E-02
-2.280905E+00,4.883E-03
-2.280895E+00,-4.883E-03
-2.280885E+00,1.465E-02
-2.280875E+00,1.465E-02
-2.280865E+00,2.441E-02
-2.280855E+00,-1.465E-02
-2.280845E+00,1.465E-02
-2.280835E+00,1.465E-02
-2.280825E+00,4.883E-03
-2.280815E+00,4.883E-03
-2.280805E+00,2.441E-02
-2.280795E+00,4.883E-03
-2.280785E+00,4.883E-03
-2.280775E+00,4.883E-03
-2.280765E+00,3.418E-02
-2.280755E+00,4.883E-03
-2.280745E+00,1.465E-02
-2.280735E+00,2.441E-02
-2.280725E+00,1.465E-02
-2.280715E+00,-4.883E-03
-2.280705E+00,3.418E-02
-2.280695E+00,-4.883E-03
-2.280685E+00,3.418E-02
-2.280675E+00,2.441E-02
-2.280665E+00,1.465E-02
-2.280655E+00,1.465E-02
-2.280644E+00,2.441E-02
-2.280634E+00,1.465E-02
-2.280624E+00,3.418E-02
-2.280614E+00,4.883E-03
-2.280604E+00,-4.883E-03
-2.280594E+00,4.883E-03
-2.280584E+00,3.418E-02
-2.280574E+00,2.441E-02
-2.280564E+00,2.441E-02
-2.280554E+00,-4.883E-03
-2.280544E+00,3.418E-02
-2.280534E+00,-4.883E-03
-2.280524E+00,3.418E-02
-2.280514E+00,3.418E-02
-2.280504E+00,4.883E-03
-2.280494E+00,2.441E-02
-2.280484E+00,4.883E-03
-2.280474E+00,4.883E-03
-2.280464E+00,1.465E-02
-2.280454E+00,1.465E-02
-2.280444E+00,-4.883E-03
-2.280434E+00,1.465E-02
-2.280424E+00,2.441E-02
-2.280414E+00,4.883E-03
-2.280404E+00,2.441E-02
-2.280394E+00,4.883E-03
-2.280384E+00,-4.883E-03
-2.280374E+00,4.883E-03
-2.280364E+00,3.418E-02
-2.280354E+00,4.883E-03
-2.280344E+00,1.465E-02
-2.280333E+00,-1.465E-02
-2.280323E+00,3.418E-02
-2.280313E+00,2.441E-02
-2.280303E+00,4.395E-02
-2.280293E+00,5.371E-02
-2.280283E+00,2.441E-02
-2.280273E+00,4.883E-03
-2.280263E+00,-1.465E-02
-2.280253E+00,-4.883E-03
-2.280243E+00,1.465E-02
-2.280233E+00,4.883E-03
-2.280223E+00,3.418E-02
-2.280213E+00,2.441E-02
-2.280203E+00,4.883E-03
-2.280193E+00,4.883E-03
-2.280183E+00,-4.883E-03
-2.280173E+00,4.883E-03
-2.280163E+00,2.441E-02
-2.280153E+00,-4.883E-03
-2.280143E+00,1.465E-02
-2.280133E+00,4.883E-03
-2.280123E+00,2.441E-02
-2.280113E+00,2.441E-02
-2.280103E+00,-2.441E-02
-2.280093E+00,-4.883E-03
-2.280083E+00,1.465E-02
-2.280073E+00,3.418E-02
-2.280063E+00,4.883E-03
-2.280053E+00,1.465E-02
-2.280043E+00,3.418E-02
-2.280033E+00,2.441E-02
-2.280022E+00,2.441E-02
-2.280012E+00,4.883E-03
-2.280002E+00,3.418E-02
-2.279992E+00,1.465E-02
-2.279982E+00,2.441E-02
-2.279972E+00,-1.465E-02
-2.279962E+00,2.441E-02
-2.279952E+00,4.883E-03
-2.279942E+00,1.465E-02
-2.279932E+00,1.465E-02
-2.279922E+00,1.465E-02
-2.279912E+00,4.883E-03
-2.279902E+00,4.883E-03
-2.279892E+00,-4.883E-03
-2.279882E+00,1.465E-02
-2.279872E+00,2.441E-02
-2.279862E+00,2.441E-02
-2.279852E+00,-4.883E-03
-2.279842E+00,2.441E-02
-2.279832E+00,4.883E-03
-2.279822E+00,-4.883E-03
-2.279812E+00,-4.883E-03
-2.279802E+00,4.883E-03
-2.279792E+00,-2.441E-02
-2.279782E+00,2.441E-02
-2.279772E+00,1.465E-02
-2.279762E+00,2.441E-02
-2.279752E+00,2.441E-02
-2.279742E+00,2.441E-02
-2.279732E+00,1.465E-02
-2.279722E+00,-4.883E-03
-2.279712E+00,1.465E-02
-2.279701E+00,4.883E-03
-2.279691E+00,-4.883E-03
-2.279681E+00,2.441E-02
-2.279671E+00,2.441E-02
-2.279661E+00,3.418E-02
-2.279651E+00,4.883E-03
-2.279641E+00,4.883E-03
-2.279631E+00,2.441E-02
-2.279621E+00,6.348E-02
-2.279611E+00,4.883E-03
-2.279601E+00,2.441E-02
-2.279591E+00,1.465E-02
-2.279581E+00,4.395E-02
-2.279571E+00,-3.418E-02
-2.279561E+00,-1.465E-02
-2.279551E+00,4.883E-03
-2.279541E+00,2.441E-02
-2.279531E+00,1.465E-02
-2.279521E+00,-4.883E-03
-2.279511E+00,3.418E-02
-2.279501E+00,-4.883E-03
-2.279491E+00,4.883E-03
-2.279481E+00,2.441E-02
-2.279471E+00,-4.883E-03
-2.279461E+00,4.883E-03
-2.279451E+00,1.465E-02
-2.279441E+00,1.465E-02
-2.279431E+00,1.465E-02
-2.279421E+00,2.441E-02
-2.279411E+00,1.465E-02
-2.279401E+00,3.418E-02
-2.279390E+00,4.883E-03
-2.279380E+00,1.465E-02
-2.279370E+00,1.465E-02
-2.279360E+00,1.465E-02
-2.279350E+00,4.883E-03
-2.279340E+00,2.441E-02
-2.279330E+00,4.883E-03
-2.279320E+00,-4.883E-03
-2.279310E+00,-1.465E-02
-2.279300E+00,-4.883E-03
-2.279290E+00,4.883E-03
-2.279280E+00,4.883E-03
-2.279270E+00,4.883E-03
-2.279260E+00,-1.465E-02
-2.279250E+00,3.418E-02
-2.279240E+00,1.465E-02
-2.279230E+00,3.418E-02
-2.279220E+00,3.418E-02
-2.279210E+00,-4.883E-03
-2.279200E+00,4.883E-03
-2.279190E+00,2.441E-02
-2.279180E+00,-4.883E-03
-2.279170E+00,1.465E-02
-2.279160E+00,1.465E-02
-2.279150E+00,3.418E-02
-2.279140E+00,4.883E-03
-2.279130E+00,3.418E-02
-2.279120E+00,2.441E-02
-2.279110E+00,3.418E-02
-2.279100E+00,4.883E-03
-2.279090E+00,4.883E-03
-2.279079E+00,4.883E-03
-2.279069E+00,3.418E-02
-2.279059E+00,-4.883E-03
-2.279049E+00,-2.441E-02
-2.279039E+00,-4.883E-03
-2.279029E+00,4.883E-03
-2.279019E+00,4.883E-03
-2.279009E+00,4.883E-03
-2.278999E+00,3.418E-02
-2.278989E+00,4.883E-03
-2.278979E+00,-2.441E-02
-2.278969E+00,1.465E-02
-2.278959E+00,3.418E-02
-2.278949E+00,2.441E-02
-2.278939E+00,4.883E-03
-2.278929E+00,2.441E-02
-2.278919E+00,1.465E-02
-2.278909E+00,-2.441E-02
-2.278899E+00,-4.883E-03
-2.278889E+00,3.418E-02
-2.278879E+00,1.465E-02
-2.278869E+00,1.465E-02
-2.278859E+00,1.465E-02
-2.278849E+00,4.883E-03
-2.278839E+00,-4.883E-03
-2.278829E+00,-4.883E-03
-2.278819E+00,4.883E-03
-2.278809E+00,2.441E-02
-2.278799E+00,4.395E-02
-2.278789E+00,1.465E-02
-2.278779E+00,2.441E-02
-2.278768E+00,-3.418E-02
-2.278758E+00,4.395E-02
-2.278748E+00,-1.465E-02
-2.278738E+00,4.883E-03
-2.278728E+00,2.441E-02
-2.278718E+00,-1.465E-02
-2.278708E+00,-4.883E-03
-2.278698E+00,-1.465E-02
-2.278688E+00,-4.883E-03
-2.278678E+00,-4.883E-03
-2.278668E+00,1.465E-02
-2.278658E+00,1.465E-02
-2.278648E+00,4.883E-03
-2.278638E+00,2.441E-02
-2.278628E+00,2.441E-02
-2.278618E+00,-4.883E-03
-2.278608E+00,4.883E-03
-2.278598E+00,-4.883E-03
-2.278588E+00,1.465E-02
-2.278578E+00,4.395E-02
-2.278568E+00,1.465E-02
-2.278558E+00,1.465E-02
-2.278548E+00,3.418E-02
-2.278538E+00,-4.883E-03
-2.278528E+00,4.883E-03
-2.278518E+00,-2.441E-02
-2.278508E+00,4.883E-03
-2.278498E+00,4.883E-03
-2.278488E+00,1.465E-02
-2.278478E+00,3.418E-02
-2.278468E+00,2.441E-02
-2.278458E+00,-4.883E-03
-2.278447E+00,3.418E-02
-2.278437E+00,4.883E-03
-2.278427E+00,1.465E-02
-2.278417E+00,4.883E-03
-2.278407E+00,-1.465E-02
-2.278397E+00,4.883E-03
-2.278387E+00,1.465E-02
-2.278377E+00,3.418E-02
-2.278367E+00,-4.883E-03
-2.278357E+00,2.441E-02
-2.278347E+00,2.441E-02
-2.278337E+00,2.441E-02
-2.278327E+00,3.418E-02
-2.278317E+00,-4.883E-03
-2.278307E+00,-4.883E-03
-2.278297E+00,4.883E-03
-2.278287E+00,1.465E-02
-2.278277E+00,2.441E-02
-2.278267E+00,2.441E-02
-2.278257E+00,1.465E-02
-2.278247E+00,4.883E-03
-2.278237E+00,2.441E-02
-2.278227E+00,-4.883E-03
-2.278217E+00,1.465E-02
-2.278207E+00,1.465E-02
-2.278197E+00,1.465E-02
-2.278187E+00,4.883E-03
-2.278177E+00,-1.465E-02
-2.278167E+00,4.883E-03
-2.278157E+00,4.883E-03
-2.278147E+00,4.883E-03
-2.278136E+00,1.465E-02
-2.278126E+00,4.883E-03
-2.278116E+00,4.883E-03
-2.278106E+00,3.418E-02
-2.278096E+00,3.418E-02
-2.278086E+00,4.883E-03
-2.278076E+00,4.883E-03
-2.278066E+00,4.883E-03
-2.278056E+00,-1.465E-02
-2.278046E+00,1.465E-02
-2.278036E+00,1.465E-02
-2.278026E+00,4.883E-03
-2.278016E+00,3.418E-02
-2.278006E+00,4.883E-03
-2.277996E+00,-4.883E-03
-2.277986E+00,1.465E-02
-2.277976E+00,2.441E-02
-2.277966E+00,4.883E-03
-2.277956E+00,1.465E-02
-2.277946E+00,4.883E-03
-2.277936E+00,-1.465E-02
-2.277926E+00,4.883E-03
-2.277916E+00,3.418E-02
-2.277906E+00,-1.465E-02
-2.277896E+00,2.441E-02
-2.277886E+00,4.883E-03
-2.277876E+00,1.465E-02
-2.277866E+00,2.441E-02
-2.277856E+00,1.465E-02
-2.277846E+00,1.465E-02
-2.277836E+00,4.883E-03
-2.277825E+00,4.883E-03
-2.277815E+00,4.883E-03
-2.277805E+00,1.465E-02
-2.277795E+00,-4.883E-03
-2.277785E+00,-4.883E-03
-2.277775E+00,-4.883E-03
-2.277765E+00,3.418E-02
-2.277755E+00,2.441E-02
-2.277745E+00,-1.465E-02
-2.277735E+00,4.883E-03
-2.277725E+00,-1.465E-02
-2.277715E+00,-4.883E-03
-2.277705E+00,4.883E-03
-2.277695E+00,3.418E-02
-2.277685E+00,1.465E-02
-2.277675E+00,1.465E-02
-2.277665E+00,4.883E-03
-2.277655E+00,4.883E-03
-2.277645E+00,4.883E-03
-2.277635E+00,1.465E-02
-2.277625E+00,4.883E-03
